chapter,paragraph_in_chapter,fix,before,after
Chapter One,12,period->comma,"‘I could go out.’ He thought. ‘Open the door, walk into the sto","‘I could go out,’ he thought. ‘Open the door, walk into the sto"
Chapter One,62,period->comma,ed more times than I can count.’ He thought. ‘In the war. In the earth. In the,"ed more times than I can count,’ he thought. ‘In the war. In the earth. In the"
Chapter One,69,period->comma,“Outside.” He said.,"“Outside,” he said."
Chapter One,75,period->comma,"“No.” She said, crossing the room. “You’re going ","“No,” she said, crossing the room. “You’re going "
Chapter One,77,period->comma,“Gormund and Muse can’t fight.” Cain said. “If this thing comes while we’re ,"“Gormund and Muse can’t fight,” Cain said. “If this thing comes while we’re "
Chapter One,81,period->comma,“After you.” She said.,"“After you,” she said."
Chapter Two,53,period->comma,accept any additional requests.” The girl said. Rehearsed. Automatic.,"accept any additional requests,” the girl said. Rehearsed. Automatic."
Chapter Two,54,period->comma,“I’m not here with a request.” Yoo said. “I need the Chaptermaster. Leo se,"“I’m not here with a request,” Yoo said. “I need the Chaptermaster. Leo se"
Chapter Two,56,period->comma,“Leo.” Yoo repeated. “The Guildmaster. Of the internat,"“Leo,” Yoo repeated. “The Guildmaster. Of the internat"
Chapter Two,60,period->comma,"“Fafnir.” He said, extending a hand. “Head Chapterma","“Fafnir,” he said, extending a hand. “Head Chapterma"
Chapter Two,63,period->comma,"“Come with me.” He said, and led her past the desk, throug","“Come with me,” he said, and led her past the desk, throug"
Chapter Two,65,period->comma,“Talk.” He said.,"“Talk,” he said."
Chapter Two,68,lowercase tag,“When?” He asked.,“When?” he asked.
Chapter Two,71,period->comma,"e castle within the first week.” He said. “Sealed the gates, pulled the Roy","e castle within the first week,” he said. “Sealed the gates, pulled the Roy"
Chapter Two,79,period->comma,“I have a proposal.” Yoo said. “A favor for a favor.”,"“I have a proposal,” Yoo said. “A favor for a favor.”"
Chapter Two,89,period->comma,"“I said what I said.” She replied, and walked out.","“I said what I said,” she replied, and walked out."
Chapter Three,23,lowercase tag,“Cain!” She shouted. The wind ate it. “CAIN!”,“Cain!” she shouted. The wind ate it. “CAIN!”
Chapter Three,83,period->comma,“I didn’t.” Cain said.,"“I didn’t,” Cain said."
Chapter Three,87,period->comma,"“I fucked up.” He said, and the simplicity of it was bett","“I fucked up,” he said, and the simplicity of it was bett"
Chapter Three,89,period->comma,"“It’s fine.” She said, quieter. “Warm up. I’m going to c","“It’s fine,” she said, quieter. “Warm up. I’m going to c"
Chapter Four,77,period->comma,“It’s fine.” Cain said. His voice was rough. Tired. “It’s,"“It’s fine,” Cain said. His voice was rough. Tired. “It’s"
Chapter Four,79,period->comma,"“It’s done.” He said again, quieter, and the repetition","“It’s done,” he said again, quieter, and the repetition"
Chapter Five,8,period->comma,‘Battle scar.’ She thought. ‘Honorable. First dragon fight. S,"‘Battle scar,’ she thought. ‘Honorable. First dragon fight. S"
Chapter Five,14,period->comma,“Accounting.” Carina said flatly. “Which isn’t exactly what ,"“Accounting,” Carina said flatly. “Which isn’t exactly what "
Chapter Five,21,period->comma,“Valdara.” Billy said. “City east of here. Lord there wa,"“Valdara,” Billy said. “City east of here. Lord there wa"
Chapter Five,23,period->comma,"“The Lord left.” Billy said, chewing. “My boys reported seein’","“The Lord left,” Billy said, chewing. “My boys reported seein’"
Chapter Five,26,period->comma,‘The strong take from the weak.’ She thought. ‘That’s how it works. That’s alwa,"‘The strong take from the weak,’ she thought. ‘That’s how it works. That’s alwa"
Chapter Five,29,lowercase tag," leave anything for the people?” She asked, keeping her voice light."," leave anything for the people?” she asked, keeping her voice light."
Chapter Five,31,period->comma,“Course we did.” He said. “We ain’t monsters. Left em just ,"“Course we did,” he said. “We ain’t monsters. Left em just "
Chapter Five,34,period->comma,significantly better than this.” Carina said.,"significantly better than this,” Carina said."
Chapter Five,39,period->comma,“Hasn’t even been two days.” Jane said. “And you’re already givin’ the gi,"“Hasn’t even been two days,” Jane said. “And you’re already givin’ the gi"
Chapter Five,40,period->comma,"“Now Jane, it ain’t like that.” Billy said, pulling out a chair and dropping ","“Now Jane, it ain’t like that,” Billy said, pulling out a chair and dropping "
Chapter Five,43,period->comma,"andsome and a classy gentleman.” He said, tipping his hat. “Now, if we’re d","andsome and a classy gentleman,” he said, tipping his hat. “Now, if we’re d"
Chapter Five,49,period->comma,"“It’s time.” Billy said. He leaned back in his chair, the ","“It’s time,” Billy said. He leaned back in his chair, the "
Chapter Five,54,period->comma,“Cain.” She called across the cave. “Morning. Storm’s,"“Cain,” she called across the cave. “Morning. Storm’s"
Chapter Five,74,period->comma,"“Hold on.” She said, and her voice cracked on the seco","“Hold on,” she said, and her voice cracked on the seco"
Chapter Five,78,period->comma,"“It’s fine.” Cain said. His voice was thin, reduced, the ","“It’s fine,” Cain said. His voice was thin, reduced, the "
Chapter Five,81,period->comma,"“Something’s wrong.” He said, and the admission was worse than ","“Something’s wrong,” he said, and the admission was worse than "
Chapter Five,85,period->comma,“Wait.” She said. “Just hold on. Stay awake. I’ll b,"“Wait,” she said. “Just hold on. Stay awake. I’ll b"
Chapter Five,93,period->comma,"here’s a wood cart in the back.” Gormund said slowly. “Small one, just for carry","here’s a wood cart in the back,” Gormund said slowly. “Small one, just for carry"
Chapter Five,103,period->comma,"“Cain’s in the cave.” Uthesia said between breaths, between shoves, t","“Cain’s in the cave,” Uthesia said between breaths, between shoves, t"
Chapter Six,3,period->comma,"e thing that’s been hunting us.” Uthesia said. She was sitting against the wall,","e thing that’s been hunting us,” Uthesia said. She was sitting against the wall,"
Chapter Six,15,period->comma,"at Cain and I thought was best.” Uthesia said, and the sentence was a door closi","at Cain and I thought was best,” Uthesia said, and the sentence was a door closi"
Chapter Six,17,period->comma,"“He’s barely breathing.” She said, quieter now. The anger still ther","“He’s barely breathing,” she said, quieter now. The anger still ther"
Chapter Six,20,period->comma,“We need to move.” He said. “He’s going to die if he doesn’t ,"“We need to move,” he said. “He’s going to die if he doesn’t "
Chapter Six,22,period->comma,"“Hospital...” He said, barely audible.","“Hospital..,” he said, barely audible."
Chapter Six,25,period->comma,“That’s too long.” Muse said.,"“That’s too long,” Muse said."
Chapter Six,27,period->comma,"“The bridge.” Gormund said. His head snapped up, the unfocuse","“The bridge,” Gormund said. His head snapped up, the unfocuse"
Chapter Six,29,period->comma,"“The ship.” He said. “The Gragorgan warship, frozen in","“The ship,” he said. “The Gragorgan warship, frozen in"
Chapter Six,30,period->comma,“It’s a frozen wreck.” Uthesia said.,"“It’s a frozen wreck,” Uthesia said."
Chapter Six,34,period->comma,“I can do it.” Muse said.,"“I can do it,” Muse said."
Chapter Six,36,period->comma,"“Tell me what the tools are.” She said. “Describe them, put them in my ha","“Tell me what the tools are,” she said. “Describe them, put them in my ha"
Chapter Six,38,period->comma,“Alright.” He said. “Let’s move.”,"“Alright,” he said. “Let’s move.”"
Chapter Six,45,period->comma,“Solid.” He called back. “Follow my path exactly.”,"“Solid,” he called back. “Follow my path exactly.”"
Chapter Six,50,period->comma,"“Keep moving.” He said, keeping his voice level. “Slowly.","“Keep moving,” he said, keeping his voice level. “Slowly."
Chapter Six,65,period->comma,“Ready.” She called up.,"“Ready,” she called up."
Chapter Six,69,period->comma,“Never again.” Gormund said.,"“Never again,” Gormund said."
Chapter Six,70,period->comma,“Agreed.” Uthesia managed.,"“Agreed,” Uthesia managed."
Chapter Six,73,period->comma,“Whoa...” She said.,"“Whoa..,” she said."
Chapter Six,75,lowercase tag,"“So these are ships now?” She said, her hand trailing along the wall,","“So these are ships now?” she said, her hand trailing along the wall,"
Chapter Six,76,period->comma,"ill you get to the medical bay.” Gormund said, a hint of pride.","ill you get to the medical bay,” Gormund said, a hint of pride."
Chapter Six,78,period->comma,“Don’t touch anything.” Gormund said. “I don’t know if the security sys,"“Don’t touch anything,” Gormund said. “I don’t know if the security sys"
Chapter Six,81,period->comma,“Keycard.” Gormund said. “Standard Gragorgan security. The,"“Keycard,” Gormund said. “Standard Gragorgan security. The"
Chapter Six,89,period->comma,"“Sorry.” Uthesia said, flexing her foot. “Didn't expect ","“Sorry,” Uthesia said, flexing her foot. “Didn't expect "
Chapter Six,90,period->comma,"“We need to find the keycard.” Gormund said, already moving down the corridor,","“We need to find the keycard,” Gormund said, already moving down the corridor,"
Chapter Six,105,period->comma,"“Gragorgan cargo ship.” Jane said, not looking at it. “Military tran","“Gragorgan cargo ship,” Jane said, not looking at it. “Military tran"
Chapter Six,109,period->comma,"Might be a fun challenge later.’ She thought, and kept walking.","Might be a fun challenge later,’ she thought, and kept walking."
Chapter Seven,6,period->comma,“Listen up.” Leo said. The room settled. When Leo used t,"“Listen up,” Leo said. The room settled. When Leo used t"
Chapter Seven,10,period->comma,"ole life earning that position.’ She thought. ‘Decades of research, centuries o","ole life earning that position,’ she thought. ‘Decades of research, centuries o"
Chapter Seven,11,period->comma,“Stonewalker.” Leo continued. “Infrastructure. Cities inside th,"“Stonewalker,” Leo continued. “Infrastructure. Cities inside th"
Chapter Seven,15,period->comma,"ld cities with your bare hands.” Leo said. “Which, given that it’s you, shou","ld cities with your bare hands,” Leo said. “Which, given that it’s you, shou"
Chapter Seven,17,period->comma,y ‘toys’ conquered a continent.” Stonewalker muttered. “But fine. I’ll make do. I always,"y ‘toys’ conquered a continent,” Stonewalker muttered. “But fine. I’ll make do. I always"
Chapter Seven,20,period->comma,“Restore order.” She repeated. “And protect the peace.”,"“Restore order,” she repeated. “And protect the peace.”"
Chapter Seven,27,period->comma,“You want me to rescue Lords.” He said.,"“You want me to rescue Lords,” he said."
Chapter Seven,30,period->comma,o you have to at least tell me.” Orsted said. “Got it.”,"o you have to at least tell me,” Orsted said. “Got it.”"
Chapter Seven,35,period->comma,"“Now.” Asriel said, and his voice had the edge of a m","“Now,” Asriel said, and his voice had the edge of a m"
Chapter Seven,38,period->comma," blocks magic from the outside.” She said, and her voice was steady because "," blocks magic from the outside,” she said, and her voice was steady because "
Chapter Seven,45,period->comma,“Correct.” Lumina said. “I can’t determine exact coordina,"“Correct,” Lumina said. “I can’t determine exact coordina"
Chapter Seven,49,period->comma,"“Oh come on.” Lumina said, and the smile in her voice was th","“Oh come on,” Lumina said, and the smile in her voice was th"
Chapter Seven,61,period->comma,“Worry not.” He said. “I still have the heroes’ bloodli,"“Worry not,” he said. “I still have the heroes’ bloodli"
Chapter Seven,65,period->comma,"“Fine.” He said. “If he causes trouble, he’s trapp","“Fine,” he said. “If he causes trouble, he’s trapp"
Chapter Seven,67,period->comma,“Wouldn’t dream of it.” He said.,"“Wouldn’t dream of it,” he said."
Chapter Seven,70,lowercase tag,“Everyone ready?” She asked.,“Everyone ready?” she asked.
Chapter Seven,71,period->comma,“No.” Asriel said.,"“No,” Asriel said."
Chapter Seven,76,period->comma,"rew had a painkiller addiction.” He said, checking a door handle. Locked. H","rew had a painkiller addiction,” he said, checking a door handle. Locked. H"
Chapter Seven,84,period->comma,"“Nothing here.” He said. “Cards would be in pockets, on la","“Nothing here,” he said. “Cards would be in pockets, on la"
Chapter Seven,87,period->comma,“We take stock.” Gormund said. “This ship is a resource. Those c,"“We take stock,” Gormund said. “This ship is a resource. Those c"
Chapter Seven,90,period->comma,“Adamantite.” Uthesia said. “On a ship frozen in a river insi,"“Adamantite,” Uthesia said. “On a ship frozen in a river insi"
Chapter Seven,95,period->comma,"“Medical personnel.” He said, and exhaled. “Restricted access a","“Medical personnel,” he said, and exhaled. “Restricted access a"
Chapter Seven,113,period->comma,"“Why...” He said, his voice shaking in a way that h","“Why..,” he said, his voice shaking in a way that h"
Chapter Eight,4,period->comma,"‘Angel.’ He thought, and the word carried a weight tha","‘Angel,’ he thought, and the word carried a weight tha"
Chapter Eight,6,period->comma,"“Uh.” He said. “Um. Ok. Ok, we gotta—”","“Uh,” he said. “Um. Ok. Ok, we gotta—”"
Chapter Eight,43,period->comma,‘One flame elemental.’ She thought. ‘The rest are birds. Small animal,"‘One flame elemental,’ she thought. ‘The rest are birds. Small animal"
Chapter Eight,56,period->comma,“Talk to me.” She said.,"“Talk to me,” she said."
Chapter Eight,63,period->comma,"“I need to go help Uthesia.” Gormund said. He was at the door, his hand on t","“I need to go help Uthesia,” Gormund said. He was at the door, his hand on t"
Chapter Eight,64,period->comma,“Go.” Muse said. She was already placing the vital,"“Go,” Muse said. She was already placing the vital"
Chapter Eight,66,period->comma,“I believe in you.” He said. “It won’t fire into the medical b,"“I believe in you,” he said. “It won’t fire into the medical b"
Chapter Eight,75,period->comma,‘Five wounds.’ She thought. ‘Five punctures through the torso,"‘Five wounds,’ she thought. ‘Five punctures through the torso"
Chapter Eight,80,period->comma,‘Now the wounds.’ She thought. ‘I need to close the internal dam,"‘Now the wounds,’ she thought. ‘I need to close the internal dam"
Chapter Eight,91,period->comma,‘One down.’ She thought. ‘Four to go. And I still need to ,"‘One down,’ she thought. ‘Four to go. And I still need to "
Chapter Nine,6,period->comma,"“Oh look at that.” Stonewalker said, squinting up at the peaks. “Back ","“Oh look at that,” Stonewalker said, squinting up at the peaks. “Back "
Chapter Nine,18,period->comma,“So.” Orsted said. “You’ll help rescue your fellow L,"“So,” Orsted said. “You’ll help rescue your fellow L"
Chapter Nine,29,period->comma,“Fine.” Orsted said. “You find Dantalion.”,"“Fine,” Orsted said. “You find Dantalion.”"
Chapter Nine,38,lowercase tag,"‘So why is it in Kordova?’ He thought, ducking behind a support column a","‘So why is it in Kordova?’ he thought, ducking behind a support column a"
Chapter Nine,46,lowercase tag, many summons do you have left?” He asked., many summons do you have left?” he asked.
Chapter Nine,64,period->comma,"‘Please.’ He thought, and the prayer was directed at no","‘Please,’ he thought, and the prayer was directed at no"
Chapter Nine,80,lowercase tag,“Are you ok?” He asked.,“Are you ok?” he asked.
Chapter Nine,82,period->comma,“Uh-huh.” Somebody said. Gormund thought it might have bee,"“Uh-huh,” somebody said. Gormund thought it might have bee"
Chapter Nine,88,period->comma,“Yeah.” Gormund said.,"“Yeah,” Gormund said."
Chapter Ten,19,period->comma,“Yes.” She said.,"“Yes,” she said."
Chapter Ten,21,lowercase tag,"“You’re a doctor?” He asked, after the pause. Not skeptical. G","“You’re a doctor?” he asked, after the pause. Not skeptical. G"
Chapter Ten,28,period->comma,I just didn’t want to lose him.” She said.,"I just didn’t want to lose him,” she said."
Chapter Ten,30,period->comma,"“Ninety percent.” The voice said, and the warmth in it had shifted,","“Ninety percent,” the voice said, and the warmth in it had shifted,"
Chapter Ten,33,lowercase tag,“Is there anything I can do?” She asked. “To repay you. Whatever you just ,“Is there anything I can do?” she asked. “To repay you. Whatever you just 
Chapter Ten,35,period->comma,“Please.” She said. “I can’t let this debt go unpaid.,"“Please,” she said. “I can’t let this debt go unpaid."
Chapter Ten,40,period->comma," happy, seeing people like you.” He said. The voice was quieter now, closer"," happy, seeing people like you,” he said. The voice was quieter now, closer"
Chapter Ten,46,period->comma,“Thank you.” He said.,"“Thank you,” he said."
Chapter Ten,52,lowercase tag,"“Orsted?!” She called out, the name arriving in her mout","“Orsted?!” she called out, the name arriving in her mout"
Chapter Eleven,3,period->comma,"meone needs to stitch me again.” Gormund said, pulling his shirt aside. Blood ha","meone needs to stitch me again,” Gormund said, pulling his shirt aside. Blood ha"
Chapter Eleven,6,period->comma,“He’ll live.” Muse said. Her fingers worked the old stitch,"“He’ll live,” Muse said. Her fingers worked the old stitch"
Chapter Eleven,10,period->comma,"“No.” She said, and the smile was small and priva","“No,” she said, and the smile was small and priva"
Chapter Eleven,15,period->comma,"“He should be up by now.” She said quietly, when she heard Uthesia st","“He should be up by now,” she said quietly, when she heard Uthesia st"
Chapter Eleven,20,period->comma,"“I’m getting food.” He announced. “Real food, from the galley. I re","“I’m getting food,” he announced. “Real food, from the galley. I re"
Chapter Eleven,35,period->comma,"“Eat.” He said, already turning back toward the d","“Eat,” he said, already turning back toward the d"
Chapter Eleven,50,period->comma,“You just made a decision.” Muse said.,"“You just made a decision,” Muse said."
Chapter Eleven,55,period->comma,“You’re right.” She said. “We should have talked it through,"“You’re right,” she said. “We should have talked it through"
Chapter Eleven,56,period->comma,“I got too heated before.” Muse said. “I know that. But it’s the princi,"“I got too heated before,” Muse said. “I know that. But it’s the princi"
Chapter Eleven,60,period->comma,"le deciding what’s best for me.” Muse said, quieter. “I spent my entire life ","le deciding what’s best for me,” Muse said, quieter. “I spent my entire life "
Chapter Eleven,61,period->comma,“Then I won’t do it again.” Uthesia said. Simple. No qualifier.,"“Then I won’t do it again,” Uthesia said. Simple. No qualifier."
Chapter Eleven,67,period->comma,"“Lights.” Uthesia said, staring up at the panels. She’d s","“Lights,” Uthesia said, staring up at the panels. She’d s"
Chapter Eleven,77,lowercase tag,“WHAT?” He shouted back.,“WHAT?” he shouted back.
Chapter Eleven,86,period->comma,"“Not exactly portable.” Uthesia murmured, running her hand along a steel pl","“Not exactly portable,” Uthesia murmured, running her hand along a steel pl"
Chapter Eleven,88,period->comma," find a merchant in Solarspire.” Uthesia said, turning an orichalcum ingot in he"," find a merchant in Solarspire,” Uthesia said, turning an orichalcum ingot in he"
Chapter Eleven,98,period->comma,“Nothing I recognize.” She said. “Not in any herbal resource I’ve ,"“Nothing I recognize,” she said. “Not in any herbal resource I’ve "
Chapter Eleven,100,lowercase tag,"“Local to Gragorgan, maybe?” She said. “Some kind of native species?”","“Local to Gragorgan, maybe?” she said. “Some kind of native species?”"
Chapter Eleven,105,period->comma,“Huh.” He said. “Green Alkanet.”,"“Huh,” he said. “Green Alkanet.”"
Chapter Eleven,110,period->comma,“Nothing.” Gormund said. “It’s a weed. It’s decorative at ,"“Nothing,” Gormund said. “It’s a weed. It’s decorative at "
Chapter Eleven,119,period->comma,"“Mage college.” Billy said, his hands in his coat pockets, su","“Mage college,” Billy said, his hands in his coat pockets, su"
Chapter Eleven,126,period->comma,“Hurry back.” She called after them. “I don’t feel like fig,"“Hurry back,” she called after them. “I don’t feel like fig"
Chapter Eleven,127,period->comma,“We’ll be quick.” Billy said.,"“We’ll be quick,” Billy said."
Chapter Eleven,131,period->comma,“Stupid mages.” She muttered.,"“Stupid mages,” she muttered."
Chapter Eleven,134,period->comma,"“It eats ki.” Carina said, shaking out her hand. “Whatever t","“It eats ki,” Carina said, shaking out her hand. “Whatever t"
Chapter Eleven,135,period->comma,“Mages.” Billy said sympathetically.,"“Mages,” Billy said sympathetically."
Chapter Eleven,144,period->comma,“Not again.” He said.,"“Not again,” he said."
Chapter Twelve,31,period->comma,“Barely.” The woman said from the throne.,"“Barely,” the woman said from the throne."
Chapter Twelve,34,period->comma,"“There, Talia.” Dantalion said, standing and brushing off his kne","“There, Talia,” Dantalion said, standing and brushing off his kne"
Chapter Twelve,36,period->comma,“Mother.” Talia said. “Are you alright?”,"“Mother,” Talia said. “Are you alright?”"
Chapter Twelve,38,period->comma,"“I’m sorry.” The woman managed. “For everything, for how I treate","“I’m sorry,” the woman managed. “For everything, for how I treate"
Chapter Twelve,42,period->comma,“There.” She said. “Now I’m happy.”,"“There,” she said. “Now I’m happy.”"
Chapter Twelve,44,period->comma, wanted to be the one to do it.” Talia said. “That was the whole point. You ki," wanted to be the one to do it,” Talia said. “That was the whole point. You ki"
Chapter Twelve,61,period->comma,“I will not recite my titles.” She said. Her voice carried the clarity of ,"“I will not recite my titles,” she said. Her voice carried the clarity of "
Chapter Twelve,76,period->comma,“Jiangshi.” She breathed.,"“Jiangshi,” she breathed."
Chapter Twelve,80,period->comma,“Release their souls.” She said. “Now.”,"“Release their souls,” she said. “Now.”"
Chapter Twelve,86,period->comma,"ever ally with a Jiangshi user.” She said, but the certainty that should hav","ever ally with a Jiangshi user,” she said, but the certainty that should hav"
Chapter Twelve,92,period->comma,ll not be defeated by machines.” Yoo said. “I welcome this ‘missile’ to try.,"ll not be defeated by machines,” Yoo said. “I welcome this ‘missile’ to try."
Chapter Twelve,94,period->comma,"“Oh, you’d survive.” He said. “I’m sure you would. All the sect","“Oh, you’d survive,” he said. “I’m sure you would. All the sect"
Chapter Twelve,103,period->comma,"“I am the head of Mount Hua.” Yoo said, and her voice was shaking, not wi","“I am the head of Mount Hua,” Yoo said, and her voice was shaking, not wi"
Chapter Twelve,105,period->comma,"“Noted.” He said pleasantly, pulling himself up. “M","“Noted,” he said pleasantly, pulling himself up. “M"
Chapter Twelve,110,period->comma,“I’m looking for the King.” Yoo said. “The people of Solarspire need th,"“I’m looking for the King,” Yoo said. “The people of Solarspire need th"
Chapter Twelve,115,period->comma,“Fine.” She said. “If that’s truly the only option.,"“Fine,” she said. “If that’s truly the only option."
Chapter Twelve,120,lowercase tag,“Is the King still alive?” He asked.,“Is the King still alive?” he asked.
Chapter Twelve,121,period->comma,"“Yes.” Elizabeth said. “Cooperative, as long as we maint","“Yes,” Elizabeth said. “Cooperative, as long as we maint"
Chapter Twelve,123,period->comma,“Go ahead and kill them both.” He said. “To redirect her I had to be some,"“Go ahead and kill them both,” he said. “To redirect her I had to be some"
Chapter Twelve,127,period->comma,“Well.” He said to no one. “That could have gone w,"“Well,” he said to no one. “That could have gone w"
Chapter Thirteen,13,period->comma,‘Oh.’ He thought. ‘I’m alive.’,"‘Oh,’ he thought. ‘I’m alive.’"
Chapter Thirteen,16,period->comma,"‘Thank you.’ He thought, and the thought was directed upwa","‘Thank you,’ he thought, and the thought was directed upwa"
Chapter Thirteen,33,period->comma,ed them for a moment. ‘Alright.’ He thought. ‘Maybe it’s not over. But this is,"ed them for a moment. ‘Alright,’ he thought. ‘Maybe it’s not over. But this is"
Chapter Thirteen,46,period->comma,I don’t understand any of that.” He admitted.,"I don’t understand any of that,” he admitted."
Chapter Thirteen,50,period->comma,I didn’t know if I could do it.” She whispered against his chest. “I kept thinkin,"I didn’t know if I could do it,” she whispered against his chest. “I kept thinkin"
Chapter Thirteen,52,period->comma,“It was enough.” He said. “I’m here.”,"“It was enough,” he said. “I’m here.”"
Chapter Thirteen,54,period->comma,"“I’m mad at you.” She said, the words undermined by the smile","“I’m mad at you,” she said, the words undermined by the smile"
Chapter Thirteen,59,period->comma,“Take your time.” Cain said.,"“Take your time,” Cain said."
Chapter Thirteen,63,period->comma,almost stabbed you in the face.” She added.,"almost stabbed you in the face,” she added."
Chapter Thirteen,71,period->comma,"“Horn.” He said, searching the buttons. “This thin","“Horn,” he said, searching the buttons. “This thin"
Chapter Thirteen,73,lowercase tag,"“WARN ME NEXT TIME!” She shouted, her hands over her ears.","“WARN ME NEXT TIME!” she shouted, her hands over her ears."
Chapter Thirteen,83,period->comma,"“It was like sixteen feet tall.” Gormund said. “Chaingun on one arm, sword on th","“It was like sixteen feet tall,” Gormund said. “Chaingun on one arm, sword on th"
Chapter Thirteen,86,period->comma,“We didn’t.” Gormund said. “Something else did.”,"“We didn’t,” Gormund said. “Something else did.”"
Chapter Thirteen,89,period->comma,“Dragon scales.” He said.,"“Dragon scales,” he said."
Chapter Thirteen,90,period->comma,long the left side of his face.” Gormund confirmed. “Yellow eyes. White hair. Ripped ,"long the left side of his face,” Gormund confirmed. “Yellow eyes. White hair. Ripped "
Chapter Thirteen,93,period->comma,“Nothing.” He said. “Good people out here.”,"“Nothing,” he said. “Good people out here.”"
Chapter Thirteen,95,period->comma,"“Rest.” Muse said, and the word was directed at ever","“Rest,” Muse said, and the word was directed at ever"
Chapter Thirteen,96,period->comma,“No arguments.” Gormund agreed.,"“No arguments,” Gormund agreed."
Chapter Thirteen,97,period->comma,“No arguments.” Uthesia said.,"“No arguments,” Uthesia said."
Chapter Thirteen,99,period->comma,“No arguments.” He said.,"“No arguments,” he said."
Chapter Thirteen,105,lowercase tag,“What about the museum?” She asked.,“What about the museum?” she asked.
Chapter Thirteen,110,period->comma,"was a boy from the Wudang sect.” She said. “Huge, twice my size, hands like ","was a boy from the Wudang sect,” she said. “Huge, twice my size, hands like "
Chapter Thirteen,117,period->comma,“Finally.” He said. “Hold on.”,"“Finally,” he said. “Hold on.”"
Chapter Thirteen,120,period->comma,"“Get on down.” Billy called, his voice carrying the same warmt","“Get on down,” Billy called, his voice carrying the same warmt"
Chapter Thirteen,128,period->comma,“Go on.” He said to the man. “Get out of here befor,"“Go on,” he said to the man. “Get out of here befor"
Chapter Thirteen,133,period->comma,“I’m sorry.” She said. “I just... the kids. I’ll take th,"“I’m sorry,” she said. “I just... the kids. I’ll take th"
Chapter Thirteen,135,period->comma,“It’s fine.” He said. “Everybody’s got limits. I get it,"“It’s fine,” he said. “Everybody’s got limits. I get it"
Chapter Thirteen,137,period->comma,"“I’ll make it up to you later.” She said. The flirtation was deliberate, ca","“I’ll make it up to you later,” she said. The flirtation was deliberate, ca"
Chapter Thirteen,142,period->comma,"“Afternoon, friend.” Billy called. “Quick question for you. You got ","“Afternoon, friend,” Billy called. “Quick question for you. You got "
Chapter Fourteen,4,period->comma,“No.” He said.,"“No,” he said."
Chapter Fourteen,17,lowercase tag,“Got it out of your system?” He managed between breaths. “You good now?”,“Got it out of your system?” he managed between breaths. “You good now?”
Chapter Fourteen,19,period->comma,“I’m going to build a rocket.” Stonewalker said to the sky. “A rocket specifically,"“I’m going to build a rocket,” Stonewalker said to the sky. “A rocket specifically"
Chapter Fourteen,29,period->comma,"“About time.” He said when he turned back, his voice thi","“About time,” he said when he turned back, his voice thi"
Chapter Fourteen,30,period->comma,"“We’re here.” Stonewalker said, “What do you need?”","“We’re here,” Stonewalker said, “What do you need?”"
Chapter Fourteen,37,lowercase tag,“Where’s the fighting?” She asked.,“Where’s the fighting?” she asked.
Chapter Fourteen,48,period->comma,"“That should do it.” She said, falling into step beside Stonewal","“That should do it,” she said, falling into step beside Stonewal"
Chapter Fourteen,55,period->comma,"“Ohhh.” He said, quiet, the sound barely a whisper","“Ohhh,” he said, quiet, the sound barely a whisper"
Chapter Fourteen,57,period->comma,"“Delicious.” He said, meaning it. “Tell me, have you he","“Delicious,” he said, meaning it. “Tell me, have you he"
Chapter Fourteen,59,period->comma,"“Acting King.” Barbatos repeated, taking another bite of the kebab.","“Acting King,” Barbatos repeated, taking another bite of the kebab."
Chapter Fourteen,61,period->comma,"“How tragic.” Barbatos said, and his face arranged itself into","“How tragic,” Barbatos said, and his face arranged itself into"
Chapter Fourteen,67,lowercase tag,"“Good afternoon!” He called, his voice carrying the warmth of ","“Good afternoon!” he called, his voice carrying the warmth of "
Chapter Fourteen,69,period->comma,"“Strip.” The bandit said, closing the distance. “Everything","“Strip,” the bandit said, closing the distance. “Everything"
Chapter Fourteen,74,period->comma,"“Oh, you poor thing.” He said, and the sympathy in his voice was","“Oh, you poor thing,” he said, and the sympathy in his voice was"
Chapter Fourteen,79,period->comma,"“Now.” He said, and his voice was pleasant, conve","“Now,” he said, and his voice was pleasant, conve"
Chapter Fourteen,81,period->comma,"“Nothing, my Lord.” Jane said. “We’d be happy to take you.”","“Nothing, my Lord,” Jane said. “We’d be happy to take you.”"
Chapter Fourteen,90,period->comma,"“My deepest thanks.” He said to Jane, inclining his head with a","“My deepest thanks,” he said to Jane, inclining his head with a"
Chapter Fourteen,93,period->comma,“Barbatos.” He said. “Lord of Poison. Eighth of the se,"“Barbatos,” he said. “Lord of Poison. Eighth of the se"
Chapter Fourteen,108,period->comma,"“Get out of the chair.” He said, and his voice was stripped, cold,","“Get out of the chair,” he said, and his voice was stripped, cold,"
Chapter Fourteen,110,lowercase tag,"“Barby!” He said, the enthusiasm perfectly calibrat","“Barby!” he said, the enthusiasm perfectly calibrat"
Chapter Fourteen,115,lowercase tag,Wondering why it’s not working?” He asked.,Wondering why it’s not working?” he asked.
Chapter Fourteen,122,period->comma,"“Well. Except you, of course.” Dantalion continued. “When was the last time you creat","“Well. Except you, of course,” Dantalion continued. “When was the last time you creat"
Chapter Fourteen,130,period->comma,"u’re remarkable at what you do.” Dantalion said, and the compliment was genuine in","u’re remarkable at what you do,” Dantalion said, and the compliment was genuine in"
